,Goals,HomeTeam,ShotsFor,ShotsAgainst,ShotsOnTargetFor,ShotsOnTargetAgainst,FoulsFor,FoulsAgainst,CornersFor,CornersAgainst,YellowsFor,YellowsAgainst,RedsFor,RedsAgainst
345,1,0,5,8,3,4,11,10,4,3,4,2,0,0
346,1,1,11,7,4,0,8,18,2,5,2,5,0,1
347,0,0,7,11,0,4,18,8,5,2,5,2,1,0
348,1,1,14,5,6,2,10,12,5,4,0,3,0,0
349,1,0,5,14,2,6,12,10,4,5,3,0,0,0
350,2,1,11,9,5,3,11,15,1,5,1,6,0,0
351,0,0,9,11,3,5,15,11,5,1,6,1,0,0
352,3,1,19,13,7,7,11,12,8,3,6,2,1,0
353,4,0,13,19,7,7,12,11,3,8,2,6,0,1
354,1,1,15,8,2,5,11,14,5,3,4,3,0,0
355,2,0,8,15,5,2,14,11,3,5,3,4,0,0
356,3,1,13,12,7,5,8,15,8,7,3,6,0,0
357,1,0,12,13,5,7,15,8,7,8,6,3,0,0
358,0,1,20,8,8,2,8,14,6,4,1,0,0,0
359,0,0,8,20,2,8,14,8,4,6,0,1,0,0
360,2,1,14,12,5,5,16,13,4,3,3,2,0,0
361,2,0,12,14,5,5,13,16,3,4,2,3,0,0
362,1,1,9,6,2,1,16,20,9,1,2,4,0,0
363,1,0,6,9,1,2,20,16,1,9,4,2,0,0
364,1,1,9,10,1,3,13,20,6,5,1,3,0,1
365,0,0,10,9,3,1,20,13,5,6,3,1,1,0
366,0,1,15,10,4,8,20,14,7,4,3,2,0,0
367,3,0,10,15,8,4,14,20,4,7,2,3,0,0
368,2,1,17,6,8,3,9,10,5,5,1,3,0,0
369,1,0,6,17,3,8,10,9,5,5,3,1,0,0
370,2,1,8,14,3,7,17,11,4,5,2,2,0,1
371,2,0,14,8,7,3,11,17,5,4,2,2,1,0
372,1,1,7,17,4,5,23,11,3,4,5,1,0,0
373,0,0,17,7,5,4,11,23,4,3,1,5,0,0
374,1,1,10,14,2,2,16,14,7,2,5,4,0,0
375,2,0,14,10,2,2,14,16,2,7,4,5,0,0
376,1,1,6,10,1,3,18,15,3,6,7,3,0,1
377,1,0,10,6,3,1,15,18,6,3,3,7,1,0
378,1,1,20,8,7,1,14,19,6,1,4,3,0,0
379,1,0,8,20,1,7,19,14,1,6,3,4,0,0
380,0,1,8,8,2,4,22,18,4,4,6,4,0,0
381,3,0,8,8,4,2,18,22,4,4,4,6,0,0
382,0,1,20,14,3,6,12,20,7,6,2,4,0,0
383,1,0,14,20,6,3,20,12,6,7,4,2,0,0
384,2,1,13,8,4,3,17,12,2,4,3,1,0,0
385,1,0,8,13,3,4,12,17,4,2,1,3,0,0
386,0,1,21,5,5,3,16,10,9,1,2,2,0,0
387,0,0,5,21,3,5,10,16,1,9,2,2,0,0
388,2,1,9,12,4,4,16,14,6,7,1,2,0,0
389,0,0,12,9,4,4,14,16,7,6,2,1,0,0
390,4,1,13,8,6,1,18,11,1,6,4,4,0,1
391,1,0,8,13,1,6,11,18,6,1,4,4,1,0
392,3,1,14,7,6,0,8,10,6,2,3,1,0,0
393,0,0,7,14,0,6,10,8,2,6,1,3,0,0
394,1,1,21,16,5,5,15,18,4,4,1,3,0,1
395,2,0,16,21,5,5,18,15,4,4,3,1,1,0
396,1,1,22,7,6,3,18,12,13,0,4,3,0,0
397,1,0,7,22,3,6,12,18,0,13,3,4,0,0
398,1,1,18,5,6,1,11,17,7,0,0,4,0,1
399,0,0,5,18,1,6,17,11,0,7,4,0,1,0
400,2,1,15,6,3,2,18,11,5,5,3,3,0,0
401,0,0,6,15,2,3,11,18,5,5,3,3,0,0
402,1,1,9,11,3,3,14,14,2,3,3,1,0,0
403,1,0,11,9,3,3,14,14,3,2,1,3,0,0
404,2,1,8,14,6,5,13,16,2,0,1,3,0,0
405,0,0,14,8,5,6,16,13,0,2,3,1,0,0
406,1,1,12,11,6,6,10,12,7,4,2,1,0,0
407,2,0,11,12,6,6,12,10,4,7,1,2,0,0
408,2,1,12,8,4,1,13,18,3,6,4,1,0,0
409,0,0,8,12,1,4,18,13,6,3,1,4,0,0
410,0,1,14,10,3,4,10,19,7,6,2,6,0,1
411,0,0,10,14,4,3,19,10,6,7,6,2,1,0
412,0,1,18,5,5,3,9,16,6,3,1,0,0,0
413,0,0,5,18,3,5,16,9,3,6,0,1,0,0
414,1,1,7,8,3,1,19,12,8,4,2,4,0,1
415,0,0,8,7,1,3,12,19,4,8,4,2,1,0
416,3,1,14,8,5,4,15,7,7,3,0,2,0,0
417,0,0,8,14,4,5,7,15,3,7,2,0,0,0
418,0,1,4,12,0,3,7,11,3,5,1,3,0,0
419,1,0,12,4,3,0,11,7,5,3,3,1,0,0
420,2,1,8,22,2,4,15,17,3,9,3,3,0,0
421,1,0,22,8,4,2,17,15,9,3,3,3,0,0
422,1,1,16,4,5,1,18,11,5,6,2,3,0,0
423,0,0,4,16,1,5,11,18,6,5,3,2,0,0
424,0,1,16,15,4,7,11,10,8,5,4,1,0,0
425,1,0,15,16,7,4,10,11,5,8,1,4,0,0
426,1,1,9,11,5,4,14,20,4,7,6,3,0,0
427,0,0,11,9,4,5,20,14,7,4,3,6,0,0
428,2,1,12,2,5,1,24,19,3,1,4,3,0,0
429,1,0,2,12,1,5,19,24,1,3,3,4,0,0
430,1,1,8,14,3,6,15,16,2,7,2,2,0,0
431,1,0,14,8,6,3,16,15,7,2,2,2,0,0
432,0,1,8,9,2,3,11,19,5,4,2,5,0,0
433,2,0,9,8,3,2,19,11,4,5,5,2,0,0
434,1,1,14,4,3,3,13,12,6,1,2,1,0,0
435,1,0,4,14,3,3,12,13,1,6,1,2,0,0
436,3,1,9,17,4,5,19,15,4,6,3,2,0,0
437,1,0,17,9,5,4,15,19,6,4,2,3,0,0
438,2,1,23,10,9,5,6,10,8,3,2,0,0,0
439,1,0,10,23,5,9,10,6,3,8,0,2,0,0
440,2,1,9,5,5,1,16,10,3,5,3,2,0,0
441,1,0,5,9,1,5,10,16,5,3,2,3,0,0
442,2,1,9,12,5,4,18,15,2,2,2,3,0,0
